
NOTICE: Existing SQLite export found: profiles/nsys/small_ctx128_train_step.sqlite
        It is assumed file was previously exported from: profiles/nsys/small_ctx128_train_step.nsys-rep
        Consider using --force-export=true if needed.

Processing [profiles/nsys/small_ctx128_train_step.sqlite] with [/cm/shared/apps/cuda12.6/toolkit/12.6/nsight-systems-2024.4.2/host-linux-x64/reports/nvtx_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
23.9,1390964725,10,139096472.5,138620378.5,138139559,141946811,1250186.5,PushPop,:measured_step
23.6,1377889605,5,275577921.0,139982680.0,138882286,815426498,301791995.4,PushPop,:warmup_step
19.3,1122677109,15,74845140.6,48099135.0,47881017,444226119,102192416.9,PushPop,:forward
18.8,1095344264,15,73022950.9,59770847.0,59296547,254179596,50124361.4,PushPop,:backward
8.8,510727507,15,34048500.5,30103444.0,29970981,89285374,15281075.1,PushPop,:optimizer_step
2.6,149292583,180,829403.2,601790.5,586446,39366239,2888673.0,PushPop,:scaled dot product attention
1.1,65138113,180,361878.4,237076.0,232005,21627972,1594076.5,PushPop,:computing attention scores
0.9,51882194,180,288234.4,186095.5,182441,17276910,1273590.2,PushPop,:computing softmax
0.5,27711503,15,1847433.5,93727.0,91798,26306841,6766505.4,PushPop,:loss
0.5,27194339,180,151079.7,146999.0,143191,396782,19604.3,PushPop,:final matmul
0.2,11671546,15,778103.1,717732.0,705647,1320789,157456.1,PushPop,:step_start

