
NOTICE: Existing SQLite export found: profiles/nsys/small_ctx1024_forward.sqlite
        It is assumed file was previously exported from: profiles/nsys/small_ctx1024_forward.nsys-rep
        Consider using --force-export=true if needed.

Processing [profiles/nsys/small_ctx1024_forward.sqlite] with [/cm/shared/apps/cuda12.6/toolkit/12.6/nsight-systems-2024.4.2/host-linux-x64/reports/nvtx_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
47.8,4302136711,15,286809114.1,259813675.0,259094169,659506892,103110064.6,PushPop,:forward
29.0,2605493107,10,260549310.7,260293153.5,259825263,261480391,655670.7,PushPop,:measured_step
18.9,1703558375,5,340711675.0,260241461.0,259584821,659808384,178389952.2,PushPop,:warmup_step
2.1,191083102,180,1061572.8,590041.0,573351,45061446,3417852.5,PushPop,:scaled dot product attention
1.0,87688143,180,487156.4,231513.5,226184,25746138,1948771.6,PushPop,:computing attention scores
0.8,71701311,180,398340.6,182962.0,178795,18839864,1450013.0,PushPop,:computing softmax
0.3,26547444,180,147485.8,143813.5,140003,406978,20276.2,PushPop,:final matmul
0.1,6636874,15,442458.3,464435.0,273452,620220,89258.1,PushPop,:step_start

