
NOTICE: Existing SQLite export found: profiles/nsys/medium_ctx512_train_step.sqlite
        It is assumed file was previously exported from: profiles/nsys/medium_ctx512_train_step.nsys-rep
        Consider using --force-export=true if needed.

Processing [profiles/nsys/medium_ctx512_train_step.sqlite] with [/cm/shared/apps/cuda12.6/toolkit/12.6/nsight-systems-2024.4.2/host-linux-x64/reports/nvtx_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
30.5,6554656658,10,655465665.8,655768825.5,652331922,658244640,1684180.4,PushPop,:measured_step
28.4,6093619814,15,406241320.9,398230597.0,397141177,517957049,30921209.7,PushPop,:backward
18.0,3872004955,5,774400991.0,654523907.0,653882609,1254220361,268227514.0,PushPop,:warmup_step
15.6,3358331904,15,223888793.6,195745190.0,192084346,621867003,110101659.6,PushPop,:forward
4.3,928937268,15,61929151.2,59448215.0,59357236,96193246,9479520.6,PushPop,:optimizer_step
1.4,309299590,360,859165.5,624434.5,567730,43344591,2284257.5,PushPop,:scaled dot product attention
0.6,134542867,360,373730.2,252831.5,229395,24750874,1301821.3,PushPop,:computing attention scores
0.5,105564345,360,293234.3,179725.0,164367,17876496,958450.0,PushPop,:computing softmax
0.3,58890987,360,163586.1,157685.0,147049,622760,27698.9,PushPop,:final matmul
0.1,25307247,15,1687149.8,1739800.0,1257213,1780076,132023.5,PushPop,:step_start
0.1,18988006,15,1265867.1,122254.0,114133,16832817,4307705.3,PushPop,:loss

